,No,IP,EA,BG
118,4C44_2,6.8990955000000005,3.4499559000000004,3.4491395999999996
119,4C44_3,7.1252106,3.8132094,3.3120012
120,4C44_4,6.9102516000000005,3.4915871999999997,3.418664400000001
121,4C44_5,6.931747499999999,3.6654591,3.2662883999999996
122,4C44_6,7.0642602000000005,3.771306,3.2929542000000005
123,4C44_7,7.0367781,3.9557898000000002,3.0809883
124,4C44_8,7.0971843,3.7941624000000003,3.3030219
125,4C44_9,7.0775931000000005,3.8175630000000003,3.2600301000000003
126,4C45_1,6.5872689,4.1073495,2.4799194
127,4C45_2,6.7050882000000005,4.1712929999999995,2.5337952
128,4C45_3,6.573936000000001,4.1582322000000005,2.4157038
129,4C45_4,6.5818269,4.1538786,2.4279483
130,4C45_5,6.617472,4.1367363,2.4807357000000003
131,4C45_6,6.6533891999999994,4.241222700000001,2.4121664999999997
132,4C45_7,6.6014181,4.0853094,2.5161087
133,4C45_8,6.460742400000001,4.261630200000001,2.1991122
134,4C511_1,6.2536743,3.6170253,2.6366490000000002
135,4C511_2,6.6471309000000005,4.1283012,2.5188297000000004
136,4C511_3,6.373942500000001,3.9076280999999997,2.466314400000001
137,4C511_4,6.4909455000000005,3.9628644,2.5280811000000005
138,4C511_5,6.3872754,3.9892581,2.3980173000000002
139,4C511_6,6.5393793,3.7506264,2.7887529
140,4C511_7,6.4313556,3.6880433999999997,2.7433122
141,4C511_8,6.5434608,3.8074953000000002,2.7359655000000003
142,4C511_9,6.5050947,4.0132029000000005,2.4918918
143,4C512_1,6.1421133,4.1892516,1.9528616999999993
144,4C512_2,6.2381646,4.2918333,1.9463312999999995
145,4C512_3,6.1837446,4.1636742,2.0200704000000003
146,4C512_4,6.1897307999999995,4.2357807,1.9539500999999997
147,4C512_5,6.1728606,4.318227,1.8546336
148,4C512_6,6.1100055,4.078779,2.0312265
149,4C512_7,6.2136756,4.1729256,2.0407500000000005
150,4C512_8,6.201703200000001,4.180816500000001,2.0208867
151,4C512_9,6.1701396,4.1835375,1.9866020999999998
152,4C55_1,7.007119200000001,3.5960736,3.411045600000001
153,4C55_2,6.9660321000000005,3.7157975999999997,3.250234500000001
154,4C55_3,6.862362,3.5111784,3.3511835999999997
155,4C55_4,7.0016772,3.3634281,3.6382491
156,4C55_5,7.029975599999999,3.4622004,3.5677752
157,4C55_6,6.6484914,3.7859994000000006,2.8624919999999996
158,4C55_7,6.875966999999999,3.7057299,3.1702370999999996
159,4C55_8,7.053376200000001,3.4339020000000002,3.6194742
160,4C55_9,7.037322300000001,3.4681865999999997,3.5691357000000012
161,4C61_1,5.8161375,4.2001356,1.6160019
162,4C61_10,5.8085187,4.2341481000000005,1.5743706
163,4C61_2,5.8506941999999995,4.3008126,1.5498815999999995
