,No,smiles
102,43_3,c1c(C#N)c2c(c(C#N)c1)c1c(cc2)c2c(cccc2)cc1
103,43_4,c1cc2c(cc1)c1c(cc2)c2c(ccc(C#N)c2C#N)cc1
104,43_5,c1c(C#N)c2c(cc1)c1c(cc2)c2c(ccc(C#N)c2)cc1
105,43_6,c1(C#N)cc2c(cc1)c1c(c(C#N)c2)c2c(cccc2)cc1
106,43_7,c1cc2c(cc1C#N)c1c(cc2)c2c(cc(C#N)cc2)cc1
107,44_1,c1cc2c(c(C#N)c1)cc1c(ccc3c1c(C#N)ccc3)c2
108,44_2,c1cc2c(cc1C#N)cc1c(c(C#N)cc3c1cccc3)c2
109,44_3,c1cc2c(cc1)cc1c(c(C#N)cc3c1ccc(C#N)c3)c2
110,44_4,c1cc2c(c(C#N)c1)cc1c(cc(C#N)c3c1cccc3)c2
111,44_5,c1(C#N)cc2c(cc1)cc1c(c(C#N)cc3c1cccc3)c2
112,44_6,c1cc2c(cc1)cc1c(ccc3c1cc(C#N)cc3C#N)c2
113,44_7,c1cc2c(cc1)cc1c(c(C#N)cc3c1cc(C#N)cc3)c2
114,44_8,c1c(C#N)c2c(c(C#N)c1)cc1c(ccc3c1cccc3)c2
115,44_9,c1cc2c(cc1C#N)cc1c(ccc3c1cccc3C#N)c2
116,4C44_1,c1(C#N)cc2c(c(C#N)c1C#N)cc1c(ccc3c1ccc(C#N)c3)c2
117,4C44_10,c1(C#N)cc2c(cc1C#N)cc1c(cc(C#N)c3c1cc(C#N)cc3)c2
118,4C44_2,c1cc2c(c(C#N)c1)cc1c(cc(C#N)c3c1c(C#N)c(C#N)cc3)c2
119,4C44_3,c1(C#N)cc2c(c(C#N)c1)cc1c(c(C#N)c(C#N)c3c1cccc3)c2
120,4C44_4,c1c(C#N)c2c(cc1)cc1c(cc(C#N)c3c1c(C#N)ccc3C#N)c2
121,4C44_5,c1c(C#N)c2c(cc1)cc1c(c(C#N)c(C#N)c3c1c(C#N)ccc3)c2
122,4C44_6,c1cc2c(c(C#N)c1C#N)cc1c(cc(C#N)c3c1cccc3C#N)c2
123,4C44_7,c1(C#N)c(C#N)c2c(c(C#N)c1)cc1c(ccc3c1cccc3C#N)c2
124,4C44_8,c1c(C#N)c2c(cc1)c(C#N)c1c(cc(C#N)c3c1cc(C#N)cc3)c2
125,4C44_9,c1(C#N)c(C#N)c2c(cc1)cc1c(c(C#N)c(C#N)c3c1cccc3)c2
126,4C45_1,c1cc2c(C#N)c3cc4c(ccc(C#N)c4C#N)cc3cc2c(C#N)c1
127,4C45_2,c1(C#N)cc2cc3cc4c(cc(C#N)c(C#N)c4)cc3c(C#N)c2cc1
128,4C45_3,c1(C#N)c(C#N)c2c(C#N)c3cc4c(ccc(C#N)c4)cc3cc2cc1
129,4C45_4,c1cc2c(C#N)c3cc4c(c(C#N)c(C#N)c(C#N)c4)cc3cc2cc1
130,4C45_5,c1(C#N)cc2cc3cc4c(c(C#N)ccc4C#N)cc3c(C#N)c2cc1
131,4C45_6,c1(C#N)cc2cc3c(C#N)c4c(cccc4)c(C#N)c3cc2c(C#N)c1
132,4C45_7,c1c(C#N)c2cc3cc4c(cc(C#N)c(C#N)c4)cc3cc2c(C#N)c1
133,4C45_8,c1c(C#N)c2c(C#N)c3cc4c(cccc4)cc3c(C#N)c2c(C#N)c1
134,4C511_1,c1cc2c(cc1)cc1cc3c(cc(C#N)c4c3c(C#N)c(C#N)c(C#N)c4)cc1c2
135,4C511_2,c1(C#N)cc2c(cc1)cc1c(C#N)c3c(cc(C#N)c4c3cccc4)c(C#N)c1c2
136,4C511_3,c1(C#N)c(C#N)c2c(c(C#N)c1)cc1cc3c(ccc4c3c(C#N)ccc4)cc1c2
137,4C511_4,c1c(C#N)c2c(c(C#N)c1)c(C#N)c1cc3c(ccc4c3cccc4C#N)cc1c2
138,4C511_5,c1cc2c(cc1)cc1cc3c(c(C#N)c(C#N)c4c3cc(C#N)cc4)c(C#N)c1c2
139,4C511_6,c1(C#N)cc2c(cc1C#N)cc1cc3c(ccc4c3ccc(C#N)c4C#N)cc1c2
140,4C511_7,c1cc2c(cc1C#N)cc1cc3c(ccc4c3cc(C#N)c(C#N)c4C#N)cc1c2
141,4C511_8,c1c(C#N)c2c(cc1C#N)cc1cc3c(c(C#N)cc4c3cc(C#N)cc4)cc1c2
142,4C511_9,c1c(C#N)c2c(c(C#N)c1C#N)cc1cc3c(c(C#N)cc4c3cccc4)cc1c2
143,4C512_1,c1(C#N)cc2c(C#N)c3cc4cc5c(c(C#N)ccc5)cc4cc3cc2c(C#N)c1
144,4C512_2,c1cc2cc3c(C#N)c4c(C#N)c5c(ccc(C#N)c5)cc4cc3c(C#N)c2cc1
145,4C512_3,c1cc2cc3cc4cc5c(cc(C#N)cc5C#N)cc4c(C#N)c3cc2c(C#N)c1
146,4C512_4,c1cc2cc3c(C#N)c4cc5c(c(C#N)ccc5)c(C#N)c4cc3c(C#N)c2cc1
147,4C512_5,c1cc2cc3c(C#N)c4cc5c(ccc(C#N)c5C#N)cc4c(C#N)c3cc2cc1
148,4C512_6,c1(C#N)cc2cc3cc4cc5c(c(C#N)ccc5C#N)cc4cc3cc2c(C#N)c1
149,4C512_7,c1c(C#N)c2cc3c(C#N)c4cc5c(cc(C#N)c(C#N)c5)cc4cc3cc2cc1
150,4C512_8,c1(C#N)cc2cc3c(C#N)c4cc5c(c(C#N)ccc5)cc4cc3cc2c(C#N)c1
151,4C512_9,c1cc2cc3cc4c(C#N)c5c(c(C#N)ccc5)cc4c(C#N)c3cc2c(C#N)c1
152,4C55_1,c1(C#N)cc2c(cc1)c1cc3c(c(C#N)cc4ccc(C#N)cc34)c(C#N)c1cc2
