,No,IP,EA,BG
39,C51.7,6.2123151000000005,2.3068638,3.9054513000000006
40,C51.8,6.1252431000000005,2.2606068,3.8646363
41,C51.9,6.1720443000000005,2.3242782,3.8477661000000003
42,C5101,5.6958693,2.2853679,3.4105014000000002
43,C51010,5.831647200000001,2.5601889,3.2714583000000004
44,C51011,5.880625200000001,2.5430466000000003,3.3375786
45,C51012,5.8776321000000005,2.5438629,3.3337692000000003
46,C51013,5.808790800000001,2.5484885999999998,3.2603022000000004
47,C51014,5.8161375,2.6260371,3.1901004
48,C5102,5.831647200000001,2.5049526,3.3266946
49,C5103,5.7668874,2.3958405000000003,3.3710468999999996
50,C5104,5.8082466,2.4227784,3.3854682000000005
51,C5105,5.7962742,2.3748888,3.4213853999999997
52,C5106,5.6849853,2.3903985,3.2945868000000003
53,C5107,5.8457964,2.5288974,3.3168990000000003
54,C5108,5.855592000000001,2.5506654,3.3049266
55,C5109,5.883074100000001,2.6355606000000003,3.2475135000000006
56,C5111,5.4071712000000005,2.5193739,2.8877973000000003
57,C51110,5.6354631,2.7977322,2.8377309
58,C51111,5.6346468,2.7988206,2.8358262
59,C51112,5.5764174,2.7740595,2.8023579000000005
60,C51113,5.6253954,2.8663014,2.759094
61,C51114,5.5946481,2.8284795000000003,2.7661686
62,C5112,5.5334256,2.6586891,2.8747365000000005
63,C5113,5.5554657,2.6940621,2.8614035999999996
64,C5115,5.6003622,2.769978,2.8303842
65,C5116,5.5312488,2.6916132,2.8396356
66,C5117,5.6248512,2.8513359,2.7735152999999997
67,C5118,5.6395446,2.8777296000000003,2.761815
68,C5119,5.581587300000001,2.7803178,2.8012695
69,C5121,5.1775188000000005,3.0575877,2.1199311
70,C5122,5.242550700000001,3.1065657,2.1359850000000002
71,C5125,5.2422786,3.1528227,2.0894559
72,C5126,5.2746585,3.1881957,2.0864628
73,C521,5.8994001,2.1683649,3.7310352000000004
74,C522,6.084156,2.1547599,3.9293960999999995
75,C523,6.1363992000000005,2.2576137000000003,3.8787855
76,C524,6.1127265,2.2325805,3.8801460000000003
77,C525,6.1709559,2.3362506,3.8347053
78,C526,6.1587114000000005,2.2450971,3.9136143000000003
79,C527,6.1470111,2.3370669,3.8099442000000003
80,C531,6.1143591,2.2622394000000003,3.8521196999999994
81,C532,6.1674186,2.3008776,3.8665410000000002
82,C533,6.0895980000000005,2.2159824,3.8736156
83,C534,6.1317735,2.1729906,3.9587829000000005
84,C535,6.1165359,2.1827862000000002,3.9337496999999995
85,C536,5.9951793,2.2018332000000003,3.7933460999999995
86,C537,6.1143591,2.2622394000000003,3.8521196999999994
87,C541,6.0727278,2.2355736,3.8371541999999996
88,C5410,6.0267429,2.1237405,3.9030024000000005
89,C5411,5.9968119,2.1302709,3.8665410000000002
90,C5412,6.0773535,2.2350294,3.8423241000000004
91,C5413,6.0773535,2.2350294,3.8423241000000004
92,C5414,5.9407593,2.1925818,3.7481774999999997
93,C542,6.1325898,2.3740725,3.7585173000000003
94,C544,6.141024900000001,2.2524438000000004,3.8885810999999997
95,C545,6.1252431000000005,2.2271385,3.8981046
96,C546,5.9930025,2.2464576,3.7465449000000004
97,C547,5.9622552,2.1319035,3.8303517000000005
98,C548,6.0817071,2.0685042,4.0132029
99,C549,6.0996657,2.2608789,3.8387868000000003
100,C551,5.883074100000001,2.1629229000000003,3.7201512000000005
101,C552,6.0281034,2.2793817,3.7487217000000004
102,C553,6.0517761,2.3057754,3.7460007000000006
103,C554,6.021573,2.1759837,3.8455893000000003
