,No,smiles
94,C544,c1(cc2c(cc1)c1c(cc2)c2ccccc2c2c1cccc2)C#N
95,C545,c1cc2c(cc1C#N)c1c(cc2)c2ccccc2c2c1cccc2
96,C546,c1cc2c(c(c1)C#N)c1c(cc2)c2ccccc2c2c1cccc2
97,C547,c1cc2c(cc1)c1c(cc2)c2ccccc2c2c1c(ccc2)C#N
98,C548,c1cc2c(cc1)c1c(cc2)c2ccccc2c2c1cc(cc2)C#N
99,C549,c1cc2c(cc1)c1c(cc2)c2ccccc2c2c1ccc(c2)C#N
100,C551,c1cc2c(c(c1)C#N)c1cc3c(ccc4ccccc34)cc1cc2
101,C552,c1cc2c(cc1C#N)c1cc3c(ccc4ccccc34)cc1cc2
102,C553,c1(cc2c(cc1)c1cc3c(ccc4ccccc34)cc1cc2)C#N
103,C554,c1c(c2c(cc1)c1cc3c(ccc4ccccc34)cc1cc2)C#N
104,C555,c1cc2c(cc1)c1cc3c(ccc4ccccc34)cc1cc2C#N
105,C556,c1cc2c(cc1)c1cc3c(ccc4ccccc34)cc1c(c2)C#N
106,C557,c1cc2c(cc1)c1cc3c(ccc4ccccc34)c(c1cc2)C#N
107,C558,c1cc2c(cc1)c1c(c3c(ccc4ccccc34)cc1cc2)C#N
108,C561,c1cc2cc3c(cc2cc1)c1c(cccc1)c1c(cccc31)C#N
109,C562,c1cc2cc3c(cc2cc1)c1c(cccc1)c1cc(ccc31)C#N
110,C563,c1cc2cc3c(cc2cc1)c1c(cccc1)c1ccc(cc31)C#N
111,C564,c1cc2cc3c(cc2cc1)c1c(cccc1)c1cccc(c31)C#N
112,C565,c1cc2c(c3c(cc2cc1)c1c(cccc1)c1ccccc31)C#N
113,C566,c1c(c2cc3c(cc2cc1)c1c(cccc1)c1ccccc31)C#N
114,C567,c1(cc2cc3c(cc2cc1)c1c(cccc1)c1ccccc31)C#N
115,C571,c1cc2c(c(c1)C#N)c1cc3c(cc1cc2)c1c(cccc1)cc3
116,C572,c1cc2c(cc1C#N)c1cc3c(cc1cc2)c1c(cccc1)cc3
117,C573,c1(cc2c(cc1)c1cc3c(cc1cc2)c1c(cccc1)cc3)C#N
118,C574,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(c(ccc1)C#N)cc3
119,C575,c1cc2c(cc1)c1cc3c(cc1cc2C#N)c1c(cccc1)cc3
120,C576,c1cc2c(cc1)c1cc3c(cc1c(c2)C#N)c1c(cccc1)cc3
121,C577,c1cc2c(cc1)c1cc3c(c(c1cc2)C#N)c1c(cccc1)cc3
122,C581,c1cc2cc3c(cc2cc1)c1c(c2ccccc2cc1cc3)C#N
123,C582,c1cc2cc3c(cc2cc1)c1cc2c(cccc2cc1cc3)C#N
124,C583,c1cc2cc3c(cc2cc1)c1cc2cc(ccc2cc1cc3)C#N
125,C584,c1cc2cc3c(cc2cc1)c1cc2ccc(cc2cc1cc3)C#N
126,C585,c1cc2cc3c(cc2cc1)c1cc2cccc(c2cc1cc3)C#N
127,C586,c1cc2cc3c(cc2cc1)c1cc2ccccc2c(c1cc3)C#N
128,C587,c1cc2cc3c(cc2cc1)c1cc2ccccc2cc1c(c3)C#N
129,C591,c12c(cc3c(c1)c1c(cc3)ccc3c1c(ccc3)C#N)cccc2
130,C5910,c12c(cc3c(c1)c1c(cc3)ccc3c1cccc3)c(ccc2)C#N
131,C5912,c12c(cc3c(c1)c1c(cc3)ccc3c1cccc3)ccc(c2)C#N
132,C5913,c12c(cc3c(c1)c1c(cc3)ccc3c1cccc3)cccc2C#N
133,C5914,c12c(cc3c(c1C#N)c1c(cc3)ccc3c1cccc3)cccc2
134,C592,c12c(cc3c(c1)c1c(cc3)ccc3c1cc(cc3)C#N)cccc2
135,C593,c12c(cc3c(c1)c1c(cc3)ccc3c1ccc(c3)C#N)cccc2
136,C594,c12c(cc3c(c1)c1c(cc3)ccc3c1cccc3C#N)cccc2
137,C595,c12c(cc3c(c1)c1c(cc3)cc(c3c1cccc3)C#N)cccc2
138,C596,c12c(cc3c(c1)c1c(cc3)c(cc3c1cccc3)C#N)cccc2
139,C597,c12c(cc3c(c1)c1c(c(c3)C#N)ccc3c1cccc3)cccc2
140,C598,c12c(cc3c(c1)c1c(cc3C#N)ccc3c1cccc3)cccc2
141,C599,c12c(c(c3c(c1)c1c(cc3)ccc3c1cccc3)C#N)cccc2
142,C61.1,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)c(ccc2)C#N
143,C61.2,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)cc(cc2)C#N
144,C61.5,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1C#N)cccc2
145,C61.6,c1ccc2c(c1)cc1c(c2)cc2c(c1)c(c1c(c2)cc2c(c1)cccc2)C#N
146,C61011,c12c(cc3c(c1)c1c(cc3)ccc3c1cccc3)cc1c(c2)cccc1C#N
147,C6107,c12c(cc3c(c1)c1c(c(c3)C#N)ccc3c1cccc3)cc1c(c2)cccc1
148,C6108,c12c(cc3c(c1)c1c(cc3C#N)ccc3c1cccc3)cc1c(c2)cccc1
149,C6111,c1cc2c(cc1)c1cc3cc4c(c(c3cc1cc2)C#N)c1c(cccc1)cc4
150,C6113,c1cc2c(cc1)c1cc3cc4c(cc3cc1cc2)c1c(ccc(c1)C#N)cc4
151,C6115,c1cc2c(cc1)c1cc3cc4c(cc3cc1cc2)c1c(c(ccc1)C#N)cc4
152,C6116,c1cc2c(cc1)c1cc3cc4c(cc3cc1cc2)c1c(cccc1)c(c4)C#N
153,C6117,c1cc2c(cc1)c1cc3cc4c(cc3cc1cc2)c1c(cccc1)cc4C#N
154,C6118,c1cc2c(cc1)c1cc3c(c4c(cc3cc1cc2)c1c(cccc1)cc4)C#N
155,C6125,c1c(c2cc3c(cc2cc1)c1c(cc3)ccc2c1cc1ccccc1c2)C#N
156,C6127,c1cc2cc3c(cc2cc1)c1c(cc3C#N)ccc2c1cc1ccccc1c2
157,C6128,c1cc2cc3c(cc2cc1)c1c(c(c3)C#N)ccc2c1cc1ccccc1c2
158,C6131,c1cc2cc3cc4c(cc3cc2cc1)c1c(cccc1)c1c(cccc41)C#N
159,C6137,c1c(c2cc3cc4c(cc3cc2cc1)c1c(cccc1)c1ccccc41)C#N
160,C61411,c1c(c2c(cc1)cc1c(ccc3c1cc1ccc4c(cccc4)c1c3)c2)C#N
161,C61416,c1cc2c(cc1)cc1c(ccc3c1c(c1ccc4c(cccc4)c1c3)C#N)c2
162,C6143,c1cc2c(cc1)cc1c(ccc3c1cc1ccc4c(cccc4C#N)c1c3)c2
163,C6144,c1cc2c(cc1)cc1c(ccc3c1cc1ccc4c(ccc(c4)C#N)c1c3)c2
164,C6147,c1cc2c(cc1)cc1c(ccc3c1cc1ccc4c(cccc4)c1c3C#N)c2
165,C6148,c1cc2c(cc1)cc1c(cc(c3c1cc1ccc4c(cccc4)c1c3)C#N)c2
166,C6149,c1cc2c(cc1)cc1c(c(cc3c1cc1ccc4c(cccc4)c1c3)C#N)c2
167,C61516,c1cc2c(cc1)c1c(c3c(ccc4cc5ccccc5cc34)cc1cc2)C#N
168,C6155,c1cc2c(cc1)c1cc3c(ccc4cc5c(cccc5cc34)C#N)cc1cc2
169,C6156,c1cc2c(cc1)c1cc3c(ccc4c(c5ccccc5cc34)C#N)cc1cc2
170,C6157,c1cc2c(cc1)c1cc3c(cc(c4cc5ccccc5cc34)C#N)cc1cc2
171,C6158,c1cc2c(cc1)c1cc3c(c(cc4cc5ccccc5cc34)C#N)cc1cc2
172,C6159,c1cc2c(cc1)c1cc3c(ccc4cc5ccccc5cc34)c(c1cc2)C#N
173,C6161,c1cc2c(cc1)c1c(c3ccccc23)c2c(c(ccc2)C#N)c2c1cccc2
174,C6163,c1cc2c(cc1)c1c(c3ccccc23)c2c(ccc(c2)C#N)c2c1cccc2
175,C6164,c1cc2c(cc1)c1c(c3ccccc23)c2c(cccc2C#N)c2c1cccc2
176,C6171,c1cc2cc3c(cc2cc1)c1c(cccc1)c1c(c2c(cccc2)cc31)C#N
177,C6172,c1cc2cc3c(cc2cc1)c1c(c(ccc1)C#N)c1cc2c(cccc2)cc31
178,C6173,c1cc2cc3c(cc2c(c1)C#N)c1c(cccc1)c1cc2c(cccc2)cc31
179,C6175,c1cc2cc3c(cc2cc1)c1c(ccc(c1)C#N)c1cc2c(cccc2)cc31
180,C6181,c1cc2cc3c(cc2cc1)c1c(c(c3)C#N)c2c(cccc2)c2ccccc12
181,C6183,c1c(c2cc3c(cc2cc1)c1c(cc3)c2c(cccc2)c2ccccc12)C#N
182,C6184,c1(cc2cc3c(cc2cc1)c1c(cc3)c2c(cccc2)c2ccccc12)C#N
183,C6185,c1cc2cc3c(c(c2cc1)C#N)c1c(cc3)c2c(cccc2)c2ccccc12
184,C6186,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(cccc2)c2cccc(c12)C#N
185,C6187,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(c(ccc2)C#N)c2ccccc12
186,C6188,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(cc(cc2)C#N)c2ccccc12
187,C6189,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(cccc2C#N)c2ccccc12
188,C6191,c1cc2c(cc1)c1c(cc2)c2c(c(c1)C#N)c1c(cccc1)c1ccccc21
189,C61910,c1(cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c1ccccc21)C#N
190,C61911,c1cc2c(c(c1)C#N)c1c(cc2)c2c(cc1)c1c(cccc1)c1ccccc21
191,C61912,c1cc2c(cc1)c1c(cc2)c2c(cc1C#N)c1c(cccc1)c1ccccc21
192,C6192,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1C#N)c1ccccc21
193,C6193,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(ccc(c1)C#N)c1ccccc21
194,C6194,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(c(ccc1)C#N)c1ccccc21
195,C6195,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c1c(cccc21)C#N
196,C6196,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c1ccc(cc21)C#N
197,C6197,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c1cccc(c21)C#N
198,C6198,c1cc2c(cc1)c1c(c(c2)C#N)c2c(cc1)c1c(cccc1)c1ccccc21
199,C6199,c1c(c2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c1ccccc21)C#N
200,C62.1,c12c(cc3c(c1)c1c(cc3)cccc1C#N)cc1c(c2)cc2c(c1)cccc2
201,C62.10,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)c(ccc2)C#N
202,C62.11,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cc(cc2)C#N
203,C62.12,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)ccc(c2)C#N
204,C62.13,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cccc2C#N
205,C62.14,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)c(c2c(c1)cccc2)C#N
206,C62.15,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2C#N)cc2c(c1)cccc2
207,C62.16,c12c(cc3c(c1C#N)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cccc2
208,C62.2,c12c(cc3c(c1)c1c(cc3)ccc(c1)C#N)cc1c(c2)cc2c(c1)cccc2
