,BG,IP,EA,PAH DPO,smiles,no_longest,SDPO
C548,4.0132029,6.0817071,2.0685042,0.83,c1cc2c(cc1)c1c(cc2)c2ccccc2c2c1cc(cc2)C#N,sa,((s)+(s)+(s)+(sa*1))*(1/4)
C51111,2.8358262,5.6346468,2.7988206,2.6,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc(cc1)C#N,sa,((sa*1))*(1/1)
C51.7,3.9054513,6.2123151,2.3068638,0.83,c1cc2c(cc1)c1c(cc2)c2c(ccc3c2cccc3)c(c1)C#N,sa,((s)+(sa*1)+(sa*1)+(s))*(1/4)
C61.1,1.7297397,4.9402476,3.2105079,4.5,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)c(ccc2)C#N,sa,((sa*1))*(1/1)
C6218,3.5130831,5.7154605,2.2023774,1.78,c1cc2c(c(c1)C#N)c1cc3c(cc1cc2)c1c(cc3)c2c(cccc2)cc1,s,((s))*(1/1)
C591,3.2197593,5.5649892,2.3452299,2.03,c12c(cc3c(c1)c1c(cc3)ccc3c1c(ccc3)C#N)cccc2,s,((s))*(1/1)
C51.14,3.8371542,6.0387153,2.2015611,0.83,c1cc2c(cc1)c1c(c(c2)C#N)c2c(ccc3c2cccc3)cc1,sa,((s)+(s)+(sa*1)+(sa*1))*(1/4)
C6221,3.3500952,5.8713738,2.5212786,1.95,c1cc2c(cc1)c1c(cc2)c2c(c(cc3cc4ccccc4cc23)C#N)cc1,sa,((sa*1))*(1/1)
C6274,3.3095523,5.8585851,2.5490328,1.95,c1c(c2c(cc1)cc1c(ccc3c1ccc1c3ccc3c1cccc3)c2)C#N,sa,((sa*1))*(1/1)
C6237,3.5419257,5.8172259,2.2753002,1.78,c1c(c2c(cc1)c1cc3c(cc1cc2)c1c(ccc2c1cccc2)cc3)C#N,s,((s))*(1/1)
C525,3.8347053,6.1709559,2.3362506,1.19,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1)c(c2)C#N,sa,((sa*1)+(sa*1)+(s)+(s))*(1/4)
C6345,3.6964785,5.9132772,2.2167987,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cc2)c2c(cccc2)cc1C#N,sa,((sa*1)+(sa*1)+(s)+(s)+(s))*(1/5)
