,BG,IP,EA,PAH DPO,smiles,no_longest,SDPO
C6410,2.6254929,5.5462143,2.9207214,2.93,c1ccc2c(c1)cc1c(c2C#N)cc2c(c1)c1c(cc2)c2c(cc1)cccc2,sa,((sa*1))*(1/1)
C4410,3.5794755,6.0536808,2.4742053,1.7,c12c(cc3c(c1)c1c(cc3)cccc1)ccc(c2)C#N,sa,((sa*1))*(1/1)
C6206,3.8989209,5.9992608,2.1003399,1.2,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(c(ccc1)C#N)c1ccccc31,s,((s))*(1/1)
C63310,3.6197463,5.9162703,2.296524,1.17,c1c(c2c(cc1)c1c(cc2)c2c(cccc2)c2c1ccc1ccccc21)C#N,sa,((s)+(s)+(s)+(sa*1)+(s))*(1/5)
C6189,3.161802,5.5581867,2.3963847,2.37,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(cccc2C#N)c2ccccc12,s,((s))*(1/1)
C62.6,2.2880889,5.1984705,2.9103816,3.45,c12c(cc3c(c1)c1c(cc3C#N)cccc1)cc1c(c2)cc2c(c1)cccc2,sa,((sa*1))*(1/1)
C61516,3.3536325,5.7429426,2.3893101,1.37,c1cc2c(cc1)c1c(c3c(ccc4cc5ccccc5cc34)cc1cc2)C#N,sa,((s)+(sa*1))*(1/2)
C6337,3.6211068,5.9377662,2.3166594,1.17,c1cc2c(cc1)c1c(cc2)c2c(cccc2)c2c1ccc1c(cccc21)C#N,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C6201,3.7674966,6.1475553,2.3800587,1.2,c1cc2c(cc1)c1cc3c(cc1cc2C#N)c1c(cccc1)c1ccccc31,sa,((sa*1))*(1/1)
C678,3.4235622,5.9113725,2.4878103,1.78,c1cc2c(cc1)c1c(cc2)c2c(c(c1)C#N)cc1ccc3ccccc3c1c2,sa,((sa*1))*(1/1)
C599,3.2238408,5.8632108,2.63937,2.03,c12c(c(c3c(c1)c1c(cc3)ccc3c1cccc3)C#N)cccc2,sa,((sa*1))*(1/1)
C451,2.6459004,5.5013178,2.8554174,2.85,c1ccc2c(c1)cc1c(c2)cc2c(c1)c(ccc2)C#N,sa,((sa*1))*(1/1)
C642,2.7177348,5.4496188,2.731884,2.93,c1ccc2c(c1)cc1c(c2)cc2c(c1)c1c(cc2)c2c(c(c1)C#N)cccc2,s,((s))*(1/1)
C6289,3.4227459,5.8340961,2.4113502,1.78,c1cc2c(cc1)c1cc3c(ccc4c3c3c(c(ccc3)C#N)cc4)cc1cc2,s,((s))*(1/1)
C522,3.9293961,6.084156,2.1547599,1.19,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(ccc(c1)C#N)cc2,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C51.2,3.9430011,6.1625208,2.2195197,0.83,c1c(c2c(cc1)c1c(cc2)c2c(ccc3c2cccc3)cc1)C#N,sa,((s)+(s)+(s)+(sa*1))*(1/4)
C61.2,1.7392632,5.0060958,3.2668326,4.5,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)cc(cc2)C#N,sa,((sa*1))*(1/1)
C6235,3.335946,5.8354566,2.4995106,1.78,c1cc2c(cc1)c1cc3c(c(c1cc2)C#N)c1c(ccc2c1cccc2)cc3,sa,((sa*1))*(1/1)
C6155,3.5070969,5.9374941,2.4303972,1.37,c1cc2c(cc1)c1cc3c(ccc4cc5c(cccc5cc34)C#N)cc1cc2,sa,((sa*1)+(s))*(1/2)
C6317,3.6015156,5.8014441,2.1999285,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(ccc3cccc(c13)C#N)cc2,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C6281,3.4254669,5.8836183,2.4581514,1.78,c1cc2c(cc1)c1cc3c(cc(c4c3c3c(cccc3)cc4)C#N)cc1cc2,sa,((sa*1))*(1/1)
C5105,3.4213854,5.7962742,2.3748888,2.03,c1ccc2c(c1)cc1c(c2)ccc2c1ccc1c2cc(cc1)C#N,s,((s))*(1/1)
C448,3.5087295,6.0076959,2.4989664,1.7,c12c(cc3c(c1)c1c(cc3)cccc1)c(ccc2)C#N,sa,((sa*1))*(1/1)
C6163,3.8050464,5.9138214,2.108775,1.17,c1cc2c(cc1)c1c(c3ccccc23)c2c(ccc(c2)C#N)c2c1cccc2,sa,((s)+(sa*1)+(s)+(s)+(s))*(1/5)
C6232,3.4292763,5.8958628,2.4665865,1.78,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(ccc2c1cccc2)c(c3)C#N,sa,((sa*1))*(1/1)
C4412,3.447507,5.9965398,2.5490328,1.7,c12c(cc3c(c1C#N)c1c(cc3)cccc1)cccc2,sa,((sa*1))*(1/1)
C6295,3.6820572,5.9981724,2.3161152,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)cc(c1c2ccc2c1cccc2)C#N,sa,((s)+(sa*1)+(sa*1)+(s)+(s))*(1/5)
C6227,3.3816588,5.744031,2.3623722,1.95,c1cc2c(cc1)c1c(cc2C#N)c2c(ccc3cc4ccccc4cc23)cc1,s,((s))*(1/1)
C667,2.9911953,5.6136951,2.6224998,2.35,c1cc2c(cc1)c1cc3cc4c(c(cc5ccccc45)C#N)cc3cc1cc2,sa,((sa*1))*(1/1)
C6118,2.9155515,5.6792712,2.7637197,2.35,c1cc2c(cc1)c1cc3c(c4c(cc3cc1cc2)c1c(cccc1)cc4)C#N,sa,((sa*1))*(1/1)
C51112,2.8023579,5.5764174,2.7740595,2.6,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)c(ccc1)C#N,sa,((sa*1))*(1/1)
C6301,3.3405717,5.817498,2.4769263,1.78,c1cc2c(cc1)cc1c(c2C#N)c2c(cccc2)c2c1c1c(cccc1)cc2,sa,((sa*1))*(1/1)
C443,3.6145764,5.9891931,2.3746167,1.7,c12c(cc3c(c1)c1c(cc3)cc(cc1)C#N)cccc2,s,((s))*(1/1)
C6325,3.7400145,6.0485109,2.3084964,0.58,c1cc2c(cc1)c1c(cc2)c2c(c3ccc(cc13)C#N)c1c(cccc1)cc2,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C6115,3.0695601,5.5976412,2.5280811,2.35,c1cc2c(cc1)c1cc3cc4c(cc3cc1cc2)c1c(c(ccc1)C#N)cc4,s,((s))*(1/1)
C688,3.2075148,5.806614,2.5990992,1.95,c1cc2cc3c(c(c2cc1)C#N)c1c(cc3)c2c(ccc3ccccc23)cc1,sa,((sa*1))*(1/1)
C63.13,2.9803113,5.5429491,2.5626378,2.52,c1cc2c(c3c(cc2cc1)c1cc2cc4ccccc4cc2cc1cc3)C#N,s,((s))*(1/1)
C5910,3.2534997,5.8188585,2.5653588,2.03,c12c(cc3c(c1)c1c(cc3)ccc3c1cccc3)c(ccc2)C#N,sa,((sa*1))*(1/1)
C51013,3.2603022,5.8087908,2.5484886,2.03,c1ccc2c(c1C#N)cc1c(c2)ccc2c1ccc1c2cccc1,sa,((sa*1))*(1/1)
C6208,3.7598778,5.9260659,2.1661881,1.2,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(cccc1)c1cccc(c31)C#N,s,((s))*(1/1)
C51.9,3.8477661,6.1720443,2.3242782,0.83,c1cc2c(cc1)c1c(cc2)c2c(cc(c3c2cccc3)C#N)cc1,sa,((sa*1)+(sa*1)+(s)+(s))*(1/4)
C5111,2.8877973,5.4071712,2.5193739,2.6,c12c(cc3c(c1)c1c(cc3)cccc1C#N)cc1c(c2)cccc1,s,((s))*(1/1)
C6303,3.3147222,5.8109676,2.4962454,1.78,c1cc2c(cc1)c(c1c(c2)c2c(cccc2)c2c1c1c(cccc1)cc2)C#N,sa,((sa*1))*(1/1)
C5912,3.3065592,5.8542315,2.5476723,2.03,c12c(cc3c(c1)c1c(cc3)ccc3c1cccc3)ccc(c2)C#N,sa,((sa*1))*(1/1)
C6276,3.3865566,5.8360008,2.4494442,1.95,c1cc2c(cc1)cc1c(ccc3c1cc(c1c3ccc3c1cccc3)C#N)c2,s,((s))*(1/1)
C6172,3.6986553,5.8923255,2.1936702,1.37,c1cc2cc3c(cc2cc1)c1c(c(ccc1)C#N)c1cc2c(cccc2)cc31,s,((s)+(s))*(1/2)
C434,4.0371477,6.2191176,2.1819699,1.08,c1ccc2c(c1)c1c(cc2)c2c(cc1)cc(cc2)C#N,sa,((sa*1)+(s)+(s))*(1/3)
C6266,3.5242392,5.8449801,2.3207409,1.78,c1cc2c(cc1C#N)c1c(cc2)c2cc3ccccc3cc2c2c1cccc2,s,((s))*(1/1)
C566,3.6211068,6.0746325,2.4535257,1.45,c1c(c2cc3c(cc2cc1)c1c(cccc1)c1ccccc31)C#N,sa,((sa*1))*(1/1)
C524,3.880146,6.1127265,2.2325805,1.19,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(c(ccc1)C#N)cc2,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C544,3.8885811,6.1410249,2.2524438,0.83,c1(cc2c(cc1)c1c(cc2)c2ccccc2c2c1cccc2)C#N,sa,((s)+(s)+(sa*1)+(s))*(1/4)
C6324,3.6782478,5.9513712,2.2731234,0.58,c1cc2c(cc1)c1c(cc2)c2c(c3cccc(c13)C#N)c1c(cccc1)cc2,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C6113,3.0273846,5.6087973,2.5814127,2.35,c1cc2c(cc1)c1cc3cc4c(cc3cc1cc2)c1c(ccc(c1)C#N)cc4,s,((s))*(1/1)
C63.14,2.8575942,5.4205041,2.5629099,2.52,c12c(cc3c(c1)cc1c(c3)ccc3c1c(c1c(c3)cccc1)C#N)cccc2,s,((s))*(1/1)
C6411,2.6649474,5.4898896,2.8249422,2.93,c1cc(c2c(c1)cc1c(c2)cc2c(c1)c1c(cc2)c2c(cc1)cccc2)C#N,sa,((sa*1))*(1/1)
C5121,2.1199311,5.1775188,3.0575877,3.7,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1C#N,sa,((sa*1))*(1/1)
C6128,2.9471151,5.5938318,2.6467167,2.35,c1cc2cc3c(cc2cc1)c1c(c(c3)C#N)ccc2c1cc1ccccc1c2,sa,((sa*1)+(s))*(1/2)
C554,3.8455893,6.021573,2.1759837,1.45,c1c(c2c(cc1)c1cc3c(ccc4ccccc34)cc1cc2)C#N,s,((s))*(1/1)
C6275,3.4714518,5.7094743,2.2380225,1.95,c1cc2c(cc1)cc1c(ccc3c1c(cc1c3ccc3c1cccc3)C#N)c2,s,((s))*(1/1)
C545,3.8981046,6.1252431,2.2271385,0.83,c1cc2c(cc1C#N)c1c(cc2)c2ccccc2c2c1cccc2,sa,((s)+(s)+(sa*1)+(s))*(1/4)
C6156,3.4328136,5.9878326,2.555019,1.37,c1cc2c(cc1)c1cc3c(ccc4c(c5ccccc5cc34)C#N)cc1cc2,sa,((sa*1)+(s))*(1/2)
C5102,3.3266946,5.8316472,2.5049526,2.03,c1ccc2c(c1)cc1c(c2)ccc2c1cc(c1c2cccc1)C#N,s,((s))*(1/1)
C6184,3.1996239,5.7747783,2.5751544,2.37,c1(cc2cc3c(cc2cc1)c1c(cc3)c2c(cccc2)c2ccccc12)C#N,sa,((sa*1))*(1/1)
C6268,3.4782543,5.7516498,2.2733955,1.78,c1cc2c(cc1)c1c(c(c2)C#N)c2cc3ccccc3cc2c2c1cccc2,s,((s))*(1/1)
C596,3.3696864,5.7679758,2.3982894,2.03,c12c(cc3c(c1)c1c(cc3)c(cc3c1cccc3)C#N)cccc2,s,((s))*(1/1)
C6212,3.4088688,5.8885161,2.4796473,1.78,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(cc3C#N)c2c(cccc2)cc1,sa,((sa*1))*(1/1)
C5125,2.0894559,5.2422786,3.1528227,3.7,c1ccc2c(c1)cc1c(c2)cc2c(c1)c(c1c(c2)cccc1)C#N,sa,((sa*1))*(1/1)
